Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
237 51.9 63.0 -11.1 62.28 -1.0 1 0.26727599
238 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.18736288
239 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.14747284
240 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.10588076
241 55.4 67.1666666667 -11.7666666667 55.4 -18.0 1 0.1985948
242 51.9 63.0 -11.1 57.09 -9.0 1 0.13687834
243 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.09972051
244 55.4 67.1666666667 -11.7666666667 49.86 -26.0 1 0.18450248
245 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.16501324
246 55.4 67.1666666667 -11.7666666667 55.4 -18.0 1 0.13194098
247 51.9 63.0 -11.1 57.09 -9.0 1 0.29545123
248 55.4 67.1666666667 -11.7666666667 52.63 -22.0 0 0.21198271
249 51.9 63.0 -11.1 54.495 -14.0 1 0.34439638
250 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.25792354
251 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.32487962
252 51.9 63.0 -11.1 41.52 -34.0 1 0.53582952
253 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.25446989
254 51.9 63.0 -11.1 41.52 -34.0 1 0.29472385
255 55.4 67.1666666667 -11.7666666667 55.4 -18.0 0 0.38553625
256 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.41435556
257 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.29181369
258 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.53340221
259 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.5186836
260 51.9 63.0 -11.1 51.9 -18.0 1 0.66179736
261 51.9 63.0 -11.1 49.305 -22.0 1 0.31833148
262 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.36986346
263 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.23643924
264 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.25197917
265 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 1 0.58219976
266 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.3052459
267 53.0 68.4285714286 -15.4285714286 47.7 -30.0 0 0.34242587
268 51.9 63.0 -11.1 46.71 -26.0 1 0.50108492
269 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.33893803
270 55.4 67.1666666667 -11.7666666667 49.86 -26.0 0 0.40971866
271 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.29489432
272 51.9 63.0 -11.1 46.71 -26.0 0 0.55040022
273 55.4 67.1666666667 -11.7666666667 55.4 -18.0 1 0.70300089
274 55.4 67.1666666667 -11.7666666667 55.4 -18.0 0 0.30907199
275 51.9 63.0 -11.1 57.09 -9.0 1 0.22257374
276 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 1 0.34332177
277 51.9 63.0 -11.1 41.52 -34.0 1 0.29198265
278 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.23825399
279 55.4 67.1666666667 -11.7666666667 52.63 -22.0 0 0.39876156
280 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.21856615
281 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.2247995
282 53.0 68.4285714286 -15.4285714286 47.7 -30.0 0 0.45705326
283 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.16912171
284 51.9 63.0 -11.1 57.09 -9.0 1 0.19727484
285 51.9 63.0 -11.1 57.09 -9.0 1 0.29537976
286 51.9 63.0 -11.1 54.495 -14.0 1 0.31413009
287 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.14815923
288 53.0 68.4285714286 -15.4285714286 50.35 -26.0 1 0.4161287
289 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.3448718
290 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.17761512
291 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.15951432
292 51.9 63.0 -11.1 62.28 -1.0 1 0.16825719
293 55.4 67.1666666667 -11.7666666667 55.4 -18.0 1 0.1918115
294 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.0636018800001
295 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 1 0.07580884
296 51.9 63.0 -11.1 41.52 -34.0 1 0.11356141
297 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.09029603
298 51.9 63.0 -11.1 46.71 -26.0 1 0.17062585
299 55.4 67.1666666667 -11.7666666667 58.17 -13.0 1 0.0909217200001
300 53.0 68.4285714286 -15.4285714286 50.35 -26.0 0 0.29666787
301 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.13788936
302 51.9 63.0 -11.1 54.495 -14.0 1 0.32489892
303 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.12144087
304 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.20601255
305 51.9 63.0 -11.1 41.52 -34.0 1 0.22703392
306 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.22274168
307 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 1 0.29586165
308 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.26617875
309 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.30525738
310 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.52578693
311 55.4 67.1666666667 -11.7666666667 49.86 -26.0 1 0.53347163
312 51.9 63.0 -11.1 54.495 -14.0 1 0.25978603
313 53.0 68.4285714286 -15.4285714286 50.35 -26.0 1 0.37376739
314 53.0 68.4285714286 -15.4285714286 55.65 -19.0 1 0.19475699
315 53.0 68.4285714286 -15.4285714286 50.35 -26.0 1 0.28787539
316 51.9 63.0 -11.1 41.52 -34.0 1 0.13497582
317 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.37192969
318 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.11525852
319 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.10077258
320 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.0886782299999
321 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.30888759
322 51.9 63.0 -11.1 62.28 -1.0 1 0.12622413
323 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.12954994
324 51.9 63.0 -11.1 54.495 -14.0 1 0.14032629
325 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.11978097
326 51.9 63.0 -11.1 57.09 -9.0 1 0.16701475
327 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.52688466
328 51.9 63.0 -11.1 57.09 -9.0 1 0.30802104
329 48.8333333333 64.0 -15.1666666667 51.275 -20.0 1 0.28052104
330 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.21038692
